comic_name,active_years,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Imprint,Format,Rating,Price
Generation X (1994 - 2001),(1994 - 2001),Generation X (1994) #57,"November 01, 1999",,,Jay Faerber,,, Comic,, $2.99
Generation X (1994 - 2001),(1994 - 2001),Generation X (1994) #53,"July 01, 1999",,,Jay Faerber,,, Comic,, Free
Generation X (1994 - 2001),(1994 - 2001),Generation X (1994) #44,"November 10, 1998",,,,,, Comic,, Free
Generation X (1994 - 2001),(1994 - 2001),Generation X (1994) #43,"October 10, 1998",,,,,, Comic,, Free
Generation X (1994 - 2001),(1994 - 2001),Generation X (1994) #11,"January 10, 1996","Omega Red has taken out all of Generation X! Except for Chamber, that is! Will the young lone mutant be able to defeat such a powerful enemy?",Val Semekis,"Scott Lobdell, Todd Dezago",Chris Bachalo,, Comic,, $1.95
Generation X (1994 - 2001),(1994 - 2001),Generation X (1994) #2,"December 10, 1994","Generation X tries to figure out who the mysterious mutant Penance really is, and Gateway isn’t talking. Is the razor-sharp newcomer friend or foe?",Chris Bachalo,Scott Lobdell,Chris Bachalo,, Comic,, $1.50
Generation X (2017 - 2018),(2017 - 2018),Generation X (2017) #5,"August 16, 2017","All eyes on EYE-BOY! The most diligent student at the Xavier School for Mutant Education and Outreach is about to learn the most difficult lesson of all: When you can see EVERYTHING, you end up seeing some things you wish you hadn't!",Terry Dodson,Christina Strain,, Marvel Universe, Comic, Rated T+, $3.99
Generation X (2017 - 2018),(2017 - 2018),Generation X (2017) #4,"July 12, 2017","Taking it upon themselves to catch the assailant who's been attacking mutants in Central Park, the Xavier Institute's ""Lovable Losers"" go on the hunt for the culprit. But they aren't prepared when the trail leads them right to Generation X's most formidable foe…EMPLATE returns! Only she isn't the same monster they once knew…",Amilcar Pinna,Christina Strain,Terry Dodson, Marvel Universe, Comic, Rated T+, $3.99
Generation X (2017 - 2018),(2017 - 2018),Generation X (2017) #3,"June 14, 2017",Something is lurking in the shadows of Central Park…a monster that steals mutants in the night. And when GENERATION X takes it upon themselves to investigate…they might just find themselves face-to-face with an all too familiar threat.,Amilcar Pinna,Christina Strain,Terry Dodson, Marvel Universe, Comic, Rated T+, $3.99
Genext (2008),(2008),Genext (2008) #2,"June 11, 2008","Continuing the adventures of the newest generation of Xavier's School of students in a world where the X-Men premiered in 1963 and aged in real time. This issue, we focus on a member who is the grandson of a familiar mutant hero. He might not like school, but he does enjoy his burgeoning romance with the team's most mysterious member. Unfortunately for them both, her secret past is about rear its cybernetic head.
Rated T+ ...$3.99",Doug Alexander,Chris Claremont,, Marvel Universe, Comic, Rated a, Free
George Romero's Empire of the Dead: Act One (2014),(2014),George Romero's Empire of the Dead: Act One (2014) #4,"April 23, 2014","IT'S ZOMBIES VS VAMPIRES - WITH HUMANS CAUGHT IN THE CROSSFIRE - AS THE LEGENDARY GEORGE ROMERO UNLEASHES HIS NEXT UNDEAD EPIC! Welcome to New York years after the eruption of an undead plague - a city not only teeming with zombies, but also ruled by a vampire! Who is the ultimate wild card: the undead gladiator Zanzibar...the former cop known only as...or the southern firecracker called Dixie Peach? Plus: It's a terrorizing team-up in variant cover form when the Zombie Godfather George Romero unites with the Zombie King Arthur Suydam!",,Alex Maleev,, Licensed Publishing, Comic, Parental Guidance, $3.99
George Romero's Empire of the Dead: Act Two (2014),(2014),George Romero's Empire of the Dead: Act Two (2014) #2,"October 08, 2014","THE LEGENDARY GEORGE ROMERO UNLEASHES THE NEXT CHAPTER IN HIS UNDEAD EPIC! Welcome back to New York City years after a world-changing undead plague - and now outside forces are knocking on Manhattan's walls! While the zombies battle in the arena, death rains down from above! What is this new threat to NYC? What's worse, the roaming flesh-eaters who seem to be growing smarter every day...the ruling blood-suckers struggling to keep their grip on power...or the Southern army bent on pillaging the greatest city in the world?",Alexander Lozano,George Romero,, Licensed Publishing, Comic, Parental Guidance, $3.99
